ID,Type,Requirement,AcceptanceCriteria,VerificationMethod,TestCases,Responsible,Priority
UC06-NF3,Nicht-funktional,Alle Timeraktionen werden protokolliert.,In v1.0 nur Start/Stop lokal protokolliert; Pause/Resume nicht vorhanden.,INS,TC-UC06-NF-01 (Deviation),Entwicklerteam,Soll
UC06-NF4,Nicht-funktional,Reaktionszeit ≤ 1 Sekunde.,Messung bestätigt Reaktionszeit ≤ 1 Sekunde.,ANL/TST,TC-UC06-NF-01,Tester,Soll
UC07-F1,Funktional,"System muss es Nutzer:innen ermöglichen, Noten für Module einzugeben.",Neue Note kann erfolgreich gespeichert werden.,TST,"TC-UC07-01, TC-UC07-02, TC-UC07-03",Nutzer:in,Muss
UC07-F2,Funktional,System muss Bearbeiten bestehender Noten erlauben.,Änderung einer Note wird gespeichert und angezeigt.,TST,"TC-UC07-01, TC-UC07-02, TC-UC07-03",Nutzer:in,Muss
UC07-F3,Funktional,System muss Noten löschen können.,Löschung entfernt Note aus der Übersicht.,TST,"TC-UC07-01, TC-UC07-02, TC-UC07-03",Nutzer:in,Soll
UC07-F4,Funktional,System berechnet automatisch den Durchschnitt.,Durchschnittswert aktualisiert sich nach Änderung.,INS,TC-UC07-03 (Deviation),Entwicklerteam,Muss
UC07-F5,Funktional,System aktualisiert Notenübersicht nach Änderungen.,Änderungen sofort sichtbar.,TST,"TC-UC07-01, TC-UC07-02, TC-UC07-03",UX-Designer,Soll
UC07-NF1,Nicht-funktional,Änderungen an Noten werden in Echtzeit angezeigt.,UI aktualisiert sich ohne Reload.,ANL/TST,,Entwicklerteam,Soll
UC07-NF2,Nicht-funktional,System stellt Datenkonsistenz sicher.,Durchschnitt korrekt auch nach Mehrfacheingaben.,ANL/TST,,Entwicklerteam,Muss
UC08-F1,Funktional,System ermöglicht Zugriff auf das Dashboard.,Klick auf „Dashboard“ öffnet Übersicht.,TST,TC-UC08-01,Nutzer:in,Muss
UC08-F2,Funktional,Dashboard zeigt aktuellen XP-Stand.,XP-Wert entspricht gespeicherter Datenbankwert.,TST,TC-UC08-01,Entwicklerteam,Muss
UC08-F3,Funktional,Dashboard zeigt Nutzerlevel.,Levelanzeige stimmt mit XP-Regeln überein.,TST,TC-UC08-01,Product Owner,Muss
UC08-F4,Funktional,Dashboard zeigt aktive & abgeschlossene Quests.,Alle Quests korrekt aufgelistet.,TST,TC-UC08-01,Nutzer:in,Soll
UC08-F5,Funktional,Dashboard zeigt Notenstatistik.,Anzeige Durchschnitt und Module.,INS,TC-UC08-01 (Deviation),Product Owner,Soll
UC08-NF1,Nicht-funktional,Dashboard lädt vollständig ≤ 2 Sekunden.,Messung zeigt Ladezeit ≤ 2 s.,ANL/TST,TC-UC08-NF-01,UX-Tester,Muss
UC08-NF2,Nicht-funktional,Dashboard funktioniert auf allen unterstützten Browsern.,"Darstellung getestet auf Chrome, Firefox, Safari.",ANL/TST,TC-UC08-NF-01,QA-Team,Soll
UC09-F1,Funktional,System ermöglicht Öffnen der Benachrichtigungseinstellungen.,Menüpunkt „Benachrichtigungen“ erreichbar.,INS,TC-UC09-01 (Deviation),Nutzer:in,Muss
UC09-F2,Funktional,Nutzer:innen können Lern-Erinnerungen aktivieren/deaktivieren.,Schalter ändert Status erfolgreich.,INS,TC-UC09-01 (Deviation),Nutzer:in,Soll
UC09-F3,Funktional,Nutzer:innen können Quest-Benachrichtigungen steuern.,Einstellungen persistieren nach Reload.,INS,TC-UC09-01 (Deviation),Nutzer:in,Soll
UC09-F4,Funktional,Änderungen werden gespeichert.,Datenbankeintrag aktualisiert.,TST,TC-UC09-01,Entwicklerteam,Muss
UC09-NF1,Nicht-funktional,Änderungen wirken sofort.,Notification-Status ohne Reload übernommen.,ANL/TST,TC-UC09-NF-01,Entwicklerteam,Soll
UC09-NF2,Nicht-funktional,Benachrichtigungen werden zuverlässig zugestellt.,Testmeldungen erscheinen korrekt per Push/E-Mail.,INS,TC-UC09-NF-01 (Deviation),QA-Team,Muss
UC10-F1,Funktional,System erlaubt Import von Noten aus CSV-Datei.,CSV erfolgreich eingelesen.,TST,"TC-UC10-01, TC-UC10-02, TC-UC10-03",Nutzer:in,Soll
UC10-F2,Funktional,System erlaubt Export von Noten in CSV-Datei.,Datei erzeugt und heruntergeladen.,TST,"TC-UC10-01, TC-UC10-02, TC-UC10-03",Nutzer:in,Soll
UC10-F3,Funktional,System erkennt fehlerhafte Dateien und zeigt Fehlermeldung.,Ungültige Datei → Fehlermeldung erscheint.,TST,"TC-UC10-01, TC-UC10-02, TC-UC10-03",Entwicklerteam,Muss
UC10-NF1,Nicht-funktional,Import/Export ≤ 5 Sekunden.,Zeitmessung ≤ 5 s bei 100 Einträgen.,ANL/TST,TC-UC10-NF-01,Tester,Soll
UC11-F1,Funktional,System prüft Bedingungen für Badges.,Badge-Check wird nach Aktionen ausgeführt.,TST,"TC-UC11-01, TC-UC11-02",Product Owner,Muss
UC11-F2,Funktional,Bei erfüllter Bedingung wird Badge freigeschaltet.,Neuer Badge im Profil sichtbar.,TST,"TC-UC11-01, TC-UC11-02",Entwicklerteam,Muss
UC11-F3,Funktional,Nutzer:innen werden visuell über neues Badge informiert.,Popup/Animation erscheint.,TST,"TC-UC11-01, TC-UC11-02",UX-Designer,Soll
UC11-F4,Funktional,Übersicht aller Badges verfügbar.,Liste zeigt gesperrte + freigeschaltete Badges.,TST,"TC-UC11-01, TC-UC11-02",Nutzer:in,Soll
UC11-NF1,Nicht-funktional,Badge-Check läuft automatisch nach jeder relevanten Aktion.,Logs zeigen Trigger-Ausführung.,ANL/TST,TC-UC11-NF-01,Entwicklerteam,Muss
UC12-F1,Funktional,System zeigt Rangliste aller Nutzer:innen mit Punkten.,Leaderboard listet alle korrekt nach XP.,TST,"TC-UC12-01, TC-UC12-02",Product Owner,Muss
UC12-F2,Funktional,System berechnet und zeigt Streaks (aktive Tage).,Richtige Streak-Länge angezeigt.,TST,"TC-UC12-01, TC-UC12-02",Entwicklerteam,Soll
UC12-F3,Funktional,Daten werden bei Aufruf aktualisiert.,Refresh aktualisiert Ranking.,TST,"TC-UC12-01, TC-UC12-02",Entwicklerteam,Muss
UC12-F4,Funktional,Nutzer:innen finden eigene Position leicht.,Eigenes Profil im Leaderboard hervorgehoben.,TST,"TC-UC12-01, TC-UC12-02",UX-Designer,Soll
UC12-NF1,Nicht-funktional,Leaderboard lädt ≤ 3 Sekunden.,Ladezeitmessung ≤ 3 s.,ANL/TST,TC-UC12-NF-01,QA-Team,Soll
UC12-NF2,Nicht-funktional,Daten werden regelmäßig synchronisiert.,Automatischer Sync z. B. alle 10 min.,INS,TC-UC12-NF-01 (Deviation),Entwicklerteam,Soll
UC13-F1,Funktional,System erlaubt Admin-Login.,Nur Admin-Konten authentifiziert.,TST,"TC-UC13-01, TC-UC13-02",Security Officer,Muss
UC13-F2,Funktional,Zugriff auf Quest-Verwaltung.,Menüpunkt „Quests verwalten“ sichtbar.,TST,"TC-UC13-01, TC-UC13-02",Admin,Muss
UC13-F3,Funktional,System erlaubt Erstellen neuer Quests.,Neue Quest erscheint im Katalog.,TST,"TC-UC13-01, TC-UC13-02",Admin,Muss
UC13-F4,Funktional,System erlaubt Bearbeiten bestehender Quests.,Änderungen werden übernommen.,TST,"TC-UC13-01, TC-UC13-02",Admin,Soll
UC13-F5,Funktional,System erlaubt Löschen von Quests.,Gelöschte Quest verschwindet aus Liste.,TST,"TC-UC13-01, TC-UC13-02",Admin,Soll
UC13-F6,Funktional,Katalog aktualisiert sich nach Änderungen.,Refresh zeigt neue Daten.,TST,"TC-UC13-01, TC-UC13-02",Entwicklerteam,Soll
UC13-NF1,Nicht-funktional,Änderungen sichtbar ≤ 2 Sekunden.,UI-Update ≤ 2 s.,ANL/TST,TC-UC13-NF-01,QA-Team,Soll
UC13-NF2,Nicht-funktional,Nur eingeloggte Admins dürfen Änderungen durchführen.,Auth-Prüfung vor CRUD-Operationen.,ANL/TST,TC-UC13-NF-01,Security Officer,Muss
UC13-NF3,Nicht-funktional,Änderungen werden versioniert gespeichert.,Versionslog pro Änderung.,INS,TC-UC13-NF-01 (Deviation),Entwicklerteam,Soll
UC13-NF4,Nicht-funktional,Konflikte bei gleichzeitiger Bearbeitung werden korrekt behandelt.,Merge-Konflikte automatisch gelöst oder gemeldet.,INS,TC-UC13-NF-01 (Deviation),Entwicklerteam,Soll
UC14-F1,Funktional,Admin-Login erforderlich.,Nur Admins können konfigurieren.,TST,TC-UC14-01,Security Officer,Muss
UC14-F2,Funktional,Zugriff auf Regelverwaltung.,Menüpunkt „Regeln verwalten“ vorhanden.,TST,TC-UC14-01,Admin,Muss
UC14-F3,Funktional,System erlaubt Ändern von XP- und Levelregeln.,Neue Regelwerte gespeichert.,TST,TC-UC14-01,Admin,Soll
UC14-F4,Funktional,Geänderte Regeln werden gespeichert und aktiv.,Neue Regeln gelten nach Speichern.,TST,TC-UC14-01,Entwicklerteam,Soll
UC14-F5,Funktional,Änderungen gelten sofort global.,Nutzer:innen sehen direkt neue Werte.,TST,TC-UC14-01,Entwicklerteam,Soll
UC14-NF1,Nicht-funktional,Änderungen verursachen keine Dateninkonsistenz.,Tests nach Regelupdate bestehen.,ANL/TST,TC-UC14-NF-01,QA-Team,Muss
UC14-NF2,Nicht-funktional,Regeländerungen werden protokolliert.,Änderungslog mit Zeitstempel.,INS,TC-UC14-NF-01 (Deviation),Entwicklerteam,Soll
UC14-NF3,Nicht-funktional,Speichern dauert ≤ 2 Sekunden.,Zeitmessung ≤ 2 s.,ANL/TST,TC-UC14-NF-01,Tester,Soll
UC14-NF4,Nicht-funktional,Zugriff nur für autorisierte Admins.,Authentifizierung erfolgreich geprüft.,ANL/TST,TC-UC14-NF-01,Security Officer,Muss
UC15-F1,Funktional,System erlaubt Admin-Login.,Nur Admin-Konto akzeptiert.,TST,TC-UC15-01,Security Officer,Muss
UC15-F2,Funktional,System erlaubt Suche nach Benutzerkonten.,Trefferanzeige nach Suchkriterium.,INS,TC-UC15-01 (Deviation),Admin,Muss
UC15-F3,Funktional,System zeigt Kontoeinstellungen an.,Detailansicht des Kontos öffnet sich.,INS,TC-UC15-01 (Deviation),Admin,Soll
UC15-F4,Funktional,"System erlaubt Löschen, Sperren, Reaktivieren von Konten.",Statusänderung wird gespeichert.,TST,TC-UC15-01,Admin,Muss
UC15-F5,Funktional,System aktualisiert Kontostatus nach Änderungen.,Neue Statusanzeige korrekt im UI.,TST,TC-UC15-01,Entwicklerteam,Soll
UC15-NF1,Nicht-funktional,Nur autorisierte Admins dürfen Änderungen durchführen.,Rollenprüfung vor Aktion.,ANL/TST,TC-UC15-NF-01,Security Officer,Muss
UC15-NF2,Nicht-funktional,Änderungen werden protokolliert.,Log-Eintrag mit Admin-ID und Aktion.,INS,TC-UC15-NF-01 (Deviation),Entwicklerteam,Soll
UC15-NF3,Nicht-funktional,Reaktionszeit ≤ 2 Sekunden.,Änderung bestätigt in ≤ 2 s.,ANL/TST,TC-UC15-NF-01,QA-Team,Soll
